"DRUG","DRUG_name_long","MW","MIC_mgL","macIC90_mgL","casMBC50_mgL","casMBC90_mgL","LESIONNAME","MRT_mgL"
"AMK","Amikacin",585.6,1,8,2.0496,299.8272,"Plasma",1
"AMK","Amikacin",585.6,1,8,2.0496,299.8272,"Lung",8
"AMK","Amikacin",585.6,1,8,2.0496,299.8272,"Cellular lesion",8
"AMK","Amikacin",585.6,1,8,2.0496,299.8272,"Caseum",2.0496
"BDQ","Bedaquiline",555.52,0.06,0.05,1.166592,2.610944,"Plasma",0.06
"BDQ","Bedaquiline",555.52,0.06,0.05,1.166592,2.610944,"Lung",0.05
"BDQ","Bedaquiline",555.52,0.06,0.05,1.166592,2.610944,"Cellular lesion",0.05
"BDQ","Bedaquiline",555.52,0.06,0.05,1.166592,2.610944,"Caseum",1.166592
"BDQ-M2","Bedaquiline-M2",541.5,0.47,0.391666666666667,0.59565,2.166,"Plasma",0.47
"BDQ-M2","Bedaquiline-M2",541.5,0.47,0.391666666666667,0.59565,2.166,"Lung",0.391666666666667
"BDQ-M2","Bedaquiline-M2",541.5,0.47,0.391666666666667,0.59565,2.166,"Cellular lesion",0.391666666666667
"BDQ-M2","Bedaquiline-M2",541.5,0.47,0.391666666666667,0.59565,2.166,"Caseum",0.59565
"BTZ-043","BTZ-043",431.39,0.001,0.001639282,220.87168,220.87168,"Plasma",0.001
"BTZ-043","BTZ-043",431.39,0.001,0.001639282,220.87168,220.87168,"Lung",0.001639282
"BTZ-043","BTZ-043",431.39,0.001,0.001639282,220.87168,220.87168,"Cellular lesion",0.001639282
"BTZ-043","BTZ-043",431.39,0.001,0.001639282,220.87168,220.87168,"Caseum",220.87168
"CFZ","Clofazimine",473.41,0.12,9.47,9.4682,60.59648,"Plasma",0.12
"CFZ","Clofazimine",473.41,0.12,9.47,9.4682,60.59648,"Lung",9.47
"CFZ","Clofazimine",473.41,0.12,9.47,9.4682,60.59648,"Cellular lesion",9.47
"CFZ","Clofazimine",473.41,0.12,9.47,9.4682,60.59648,"Caseum",9.4682
"DLM","Delamanid",534.5,0.002,0.01,1.07,4.28,"Plasma",0.002
"DLM","Delamanid",534.5,0.002,0.01,1.07,4.28,"Lung",0.01
"DLM","Delamanid",534.5,0.002,0.01,1.07,4.28,"Cellular lesion",0.01
"DLM","Delamanid",534.5,0.002,0.01,1.07,4.28,"Caseum",1.07
"EMB","Ethambutol",204.31,0.6,4.09,104.4,104.4,"Plasma",0.6
"EMB","Ethambutol",204.31,0.6,4.09,104.4,104.4,"Lung",4.09
"EMB","Ethambutol",204.31,0.6,4.09,104.4,104.4,"Cellular lesion",4.09
"EMB","Ethambutol",204.31,0.6,4.09,104.4,104.4,"Caseum",104.4
"GSK-656","GSK-656",293.94,0.02,0.01,150.49728,150.49728,"Plasma",0.02
"GSK-656","GSK-656",293.94,0.02,0.01,150.49728,150.49728,"Lung",0.01
"GSK-656","GSK-656",293.94,0.02,0.01,150.49728,150.49728,"Cellular lesion",0.01
"GSK-656","GSK-656",293.94,0.02,0.01,150.49728,150.49728,"Caseum",150.49728
"GTX","Gatifloxacin",374.42,0.5,1.5,0.18721,0.56163,"Plasma",0.5
"GTX","Gatifloxacin",374.42,0.5,1.5,0.18721,0.56163,"Lung",1.5
"GTX","Gatifloxacin",374.42,0.5,1.5,0.18721,0.56163,"Cellular lesion",1.5
"GTX","Gatifloxacin",374.42,0.5,1.5,0.18721,0.56163,"Caseum",0.18721
"INH","Isoniazid",137.14,0.06,0.04,0.562274,70.21568,"Plasma",0.06
"INH","Isoniazid",137.14,0.06,0.04,0.562274,70.21568,"Lung",0.04
"INH","Isoniazid",137.14,0.06,0.04,0.562274,70.21568,"Cellular lesion",0.04
"INH","Isoniazid",137.14,0.06,0.04,0.562274,70.21568,"Caseum",0.562274
"KAN","Kanamycin",484.5,2,13,248.064,248.064,"Plasma",2
"KAN","Kanamycin",484.5,2,13,248.064,248.064,"Lung",13
"KAN","Kanamycin",484.5,2,13,248.064,248.064,"Cellular lesion",13
"KAN","Kanamycin",484.5,2,13,248.064,248.064,"Caseum",248.064
"LZD","Linezolid",337.35,0.5,6.75,172.7232,172.7232,"Plasma",0.5
"LZD","Linezolid",337.35,0.5,6.75,172.7232,172.7232,"Lung",6.75
"LZD","Linezolid",337.35,0.5,6.75,172.7232,172.7232,"Cellular lesion",6.75
"LZD","Linezolid",337.35,0.5,6.75,172.7232,172.7232,"Caseum",172.7232
"MXF","Moxifloxacin",401.44,0.125,1,0.05018,0.240864,"Plasma",0.125
"MXF","Moxifloxacin",401.44,0.125,1,0.05018,0.240864,"Lung",1
"MXF","Moxifloxacin",401.44,0.125,1,0.05018,0.240864,"Cellular lesion",1
"MXF","Moxifloxacin",401.44,0.125,1,0.05018,0.240864,"Caseum",0.05018
"OPC-167832","OPC-167832",465.8,5e-04,1e-04,238.4896,238.4896,"Plasma",5e-04
"OPC-167832","OPC-167832",465.8,5e-04,1e-04,238.4896,238.4896,"Lung",1e-04
"OPC-167832","OPC-167832",465.8,5e-04,1e-04,238.4896,238.4896,"Cellular lesion",1e-04
"OPC-167832","OPC-167832",465.8,5e-04,1e-04,238.4896,238.4896,"Caseum",238.4896
"PMD","Pretomanid",359.26,0.04,1.4,1.07778,25.1482,"Plasma",0.04
"PMD","Pretomanid",359.26,0.04,1.4,1.07778,25.1482,"Lung",1.4
"PMD","Pretomanid",359.26,0.04,1.4,1.07778,25.1482,"Cellular lesion",1.4
"PMD","Pretomanid",359.26,0.04,1.4,1.07778,25.1482,"Caseum",1.07778
