DRUG,CID,TAD,TIME,DV,LESIONNAME,LESIONGROUP,SET
CFZ,7,0,0,0,Plasma,Plasma,Validation
CFZ,7,0.5,0.5,0,Plasma,Plasma,Validation
CFZ,7,1,1,0.00143,Plasma,Plasma,Validation
CFZ,7,3,3,0.0482,Plasma,Plasma,Validation
CFZ,7,5,5,0.0974,Plasma,Plasma,Validation
CFZ,7,7,7,0.116,Plasma,Plasma,Validation
CFZ,7,0,48,0.107,Plasma,Plasma,Validation
CFZ,7,0.5,48.5,0.0911,Plasma,Plasma,Validation
CFZ,7,1,49,0.0895,Plasma,Plasma,Validation
CFZ,7,3,51,0.132,Plasma,Plasma,Validation
CFZ,7,5,53,0.283,Plasma,Plasma,Validation
CFZ,7,7,55,0.273,Plasma,Plasma,Validation
CFZ,8,0,0,0,Plasma,Plasma,Validation
CFZ,8,0.5,0.5,0,Plasma,Plasma,Validation
CFZ,8,1,1,0.0015,Plasma,Plasma,Validation
CFZ,8,3,3,0.0386,Plasma,Plasma,Validation
CFZ,8,5,5,0.104,Plasma,Plasma,Validation
CFZ,8,7,7,0.137,Plasma,Plasma,Validation
CFZ,8,0,48,0.137,Plasma,Plasma,Validation
CFZ,8,0.5,48.5,0.116,Plasma,Plasma,Validation
CFZ,8,1,49,0.12,Plasma,Plasma,Validation
CFZ,8,3,51,0.166,Plasma,Plasma,Validation
CFZ,8,5,53,0.194,Plasma,Plasma,Validation
CFZ,8,7,55,0.261,Plasma,Plasma,Validation
CFZ,9,0,0,0,Plasma,Plasma,Validation
CFZ,9,0.5,0.5,0,Plasma,Plasma,Validation
CFZ,9,1,1,0,Plasma,Plasma,Validation
CFZ,9,3,3,0.00397,Plasma,Plasma,Validation
CFZ,9,5,5,0.0776,Plasma,Plasma,Validation
CFZ,9,7,7,0.122,Plasma,Plasma,Validation
CFZ,9,0,48,0.0605,Plasma,Plasma,Validation
CFZ,9,0.5,48.5,0.0594,Plasma,Plasma,Validation
CFZ,9,1,49,0.0658,Plasma,Plasma,Validation
CFZ,9,3,51,0.219,Plasma,Plasma,Validation
CFZ,9,5,53,0.33,Plasma,Plasma,Validation
CFZ,9,7,55,0.34,Plasma,Plasma,Validation
CFZ,9,24,72,0.0815,Plasma,Plasma,Validation
CFZ,9,48,96,0.0347,Plasma,Plasma,Validation
CFZ,10,0,0,0,Plasma,Plasma,Validation
CFZ,10,0.5,0.5,0,Plasma,Plasma,Validation
CFZ,10,1,1,0.00204,Plasma,Plasma,Validation
CFZ,10,3,3,0.0495,Plasma,Plasma,Validation
CFZ,10,5,5,0.137,Plasma,Plasma,Validation
CFZ,10,7,7,0.194,Plasma,Plasma,Validation
CFZ,10,0,48,0.107,Plasma,Plasma,Validation
CFZ,10,0.5,48.5,0.1,Plasma,Plasma,Validation
CFZ,10,1,49,0.114,Plasma,Plasma,Validation
CFZ,10,3,51,0.333,Plasma,Plasma,Validation
CFZ,10,5,53,0.519,Plasma,Plasma,Validation
CFZ,10,7,55,0.463,Plasma,Plasma,Validation
CFZ,10,24,72,0.206,Plasma,Plasma,Validation
CFZ,10,48,96,0.0905,Plasma,Plasma,Validation
CFZ,11,16,16,0.107,Plasma,Plasma,Validation
CFZ,11,20,20,0.0963,Plasma,Plasma,Validation
CFZ,11,24,24,0.0732,Plasma,Plasma,Validation
CFZ,11,16,40,0.146,Plasma,Plasma,Validation
