ID,TIME,DOSEMGKG,DVNGML,WTG,WTKG,DV,AMT,EVID,MDV,AMTUG
1,0,3,0,26.42,0.02642,0,0.07926,1,1,79.26
1,0.083,0,982.325,26.42,0.02642,0.982325,0,0,0,0
1,0.25,0,1208.597,26.42,0.02642,1.208597,0,0,0,0
1,1,0,1254.354,26.42,0.02642,1.254354,0,0,0,0
1,3,0,959.267,26.42,0.02642,0.959267,0,0,0,0
1,5,0,534.643,26.42,0.02642,0.534643,0,0,0,0
1,8,0,383.194,26.42,0.02642,0.383194,0,0,0,0
1,24,0,41.454,26.42,0.02642,0.041454,0,0,0,0
2,0,3,0,22.38,0.02238,0,0.06714,1,1,67.14
2,0.083,0,845.494,22.38,0.02238,0.845494,0,0,0,0
2,0.25,0,1123.258,22.38,0.02238,1.123258,0,0,0,0
2,1,0,937.359,22.38,0.02238,0.937359,0,0,0,0
2,3,0,699.792,22.38,0.02238,0.699792,0,0,0,0
2,5,0,483.794,22.38,0.02238,0.483794,0,0,0,0
2,8,0,240.157,22.38,0.02238,0.240157,0,0,0,0
2,24,0,46.258,22.38,0.02238,0.046258,0,0,0,0
3,0,3,0,27.92,0.02792,0,0.08376,1,1,83.76
3,0.083,0,938.084,27.92,0.02792,0.938084,0,0,0,0
3,0.25,0,1205.615,27.92,0.02792,1.205615,0,0,0,0
3,1,0,1273.128,27.92,0.02792,1.273128,0,0,0,0
3,3,0,1003.71,27.92,0.02792,1.00371,0,0,0,0
3,5,0,718.949,27.92,0.02792,0.718949,0,0,0,0
3,8,0,277.471,27.92,0.02792,0.277471,0,0,0,0
3,24,0,53.382,27.92,0.02792,0.053382,0,0,0,0
